CowTagID,FragmentID,Treatment,Response_measurement,Initial,Final
14,14s,Dead_skeletal,ED,0.2065760441292356,0.16987271733187534
18,18s,Dead_skeletal,CCcm2,4.358598682812831,2.9436625942435755
18,18s,Dead_skeletal,ED,0.4243418738049713,0.03349479940564636
2,2c,Conspecific,CCcm2,3.5039188823794505,1.9978651632605131
2,2c,Conspecific,ED,0.17463001351960344,0.3514745595489784
6,6c,Conspecific,CCcm2,4.222657294292549,1.9407582405982435
6,6c,Conspecific,ED,0.4348443280977313,0.2025693985919077
15,15m,No_neighbor,CCcm2,3.953436003571137,2.8449140472409296
15,15m,No_neighbor,ED,0.31118334550766974,0.16761097010021342
1,1s,Dead_skeletal,CCcm2,3.110142719551702,1.804339529199896
1,1s,Dead_skeletal,ED,0.2941134751773049,0.20036993825572408
5,5s,Dead_skeletal,CCcm2,2.2366610013455133,0.755066946376651
5,5s,Dead_skeletal,ED,0.28141312938177176,0.12136204041073193
10,10s,Dead_skeletal,CCcm2,2.3775116993209644,1.6711955683129822
10,10s,Dead_skeletal,ED,0.08438411833398211,0.10506509021323128
15,15s,Dead_skeletal,CCcm2,3.953436003571137,2.7076327101431663
15,15s,Dead_skeletal,ED,0.31118334550766974,0.20218842263531983
19,19s,Dead_skeletal,CCcm2,4.209157845682709,1.857675158583999
19,19s,Dead_skeletal,ED,0.3639065308568003,0.12205635359116024
3,3c,Conspecific,CCcm2,3.219951189855832,2.4283522331327214
3,3c,Conspecific,ED,0.2224280354351227,0.169025530566994
7,7c,Conspecific,CCcm2,4.619539043687647,3.4955304337111905
7,7c,Conspecific,ED,0.4946439628482968,0.36952922211269945
16,16m,No_neighbor,CCcm2,4.888384402686071,2.7964243469689523
16,16m,No_neighbor,ED,0.03752767902488567,0.17256530310497792
2,2s,Dead_skeletal,CCcm2,3.5039188823794505,1.5933002849538775
2,2s,Dead_skeletal,ED,0.17463001351960344,0.10590843992977174
6,6s,Dead_skeletal,CCcm2,4.222657294292549,2.6701741820347213
6,6s,Dead_skeletal,ED,0.4348443280977313,0.31213335652692514
11,11s,Dead_skeletal,CCcm2,4.940477485784532,2.244746210908316
11,11s,Dead_skeletal,ED,0.4567908713692938,0.13623072595032254
16,16s,Dead_skeletal,CCcm2,4.888384402686071,2.7483568075117377
16,16s,Dead_skeletal,ED,0.03752767902488567,0.16112676056338032
20,20s,Dead_skeletal,CCcm2,2.319066491112575,2.3906124002227576
20,20s,Dead_skeletal,ED,0.17645766951942074,0.19313687581214023
4,4c,Conspecific,CCcm2,4.099935251359106,1.624645864289254
4,4c,Conspecific,ED,0.489640461792193,0.11390549777117397
8,8c,Conspecific,CCcm2,4.235615005053206,2.987931165673045
8,8c,Conspecific,ED,0.14111503477795606,0.07043446030749917
19,19m,No_neighbor,CCcm2,4.209157845682709,3.312171018945214
19,19m,No_neighbor,ED,0.3639065308568003,0.04187215273206058
3,3s,Dead_skeletal,CCcm2,3.219951189855832,2.265378098805064
3,3s,Dead_skeletal,ED,0.2224280354351227,0.1917531300160513
7,7s,Dead_skeletal,CCcm2,4.619539043687647,3.103957052960357
7,7s,Dead_skeletal,ED,0.4946439628482968,0.3068064489458451
13,13s,Dead_skeletal,CCcm2,4.839541604702216,2.668633990782605
13,13s,Dead_skeletal,ED,0.4086689611217335,0.26676276292510326
17,17s,Dead_skeletal,CCcm2,4.2228374732210066,2.073227711141336
17,17s,Dead_skeletal,ED,0.3092889004689943,0.12483386917274626
1,1c,Conspecific,CCcm2,3.110142719551702,2.2684161464835615
1,1c,Conspecific,ED,0.2941134751773049,0.2564164794007489
5,5c,Conspecific,CCcm2,2.2366610013455133,0.9095826745244576
5,5c,Conspecific,ED,0.28141312938177176,0.10611901681759356
9,9c,Conspecific,CCcm2,4.452596916856208,1.608784572095258
9,9c,Conspecific,ED,0.38181956027293423,0.13875231624459547
13,13c,Conspecific,CCcm2,4.839541604702216,2.244459459996819
13,13c,Conspecific,ED,0.4086689611217335,0.26386893987593446
18,18c,Conspecific,CCcm2,4.358598682812831,2.3391086846114764
18,18c,Conspecific,ED,0.4243418738049713,0.21759979685119335
2,2h,Heterospecific,CCcm2,3.5039188823794505,1.4855619360131265
2,2h,Heterospecific,ED,0.17463001351960344,0.17134405250205098
7,7h,Heterospecific,CCcm2,4.619539043687647,5.715384094816634
7,7h,Heterospecific,ED,0.4946439628482968,0.5794864559521711
11,11h,Heterospecific,CCcm2,4.940477485784532,1.443082595870206
11,11h,Heterospecific,ED,0.4567908713692938,0.08386725663716811
15,15h,Heterospecific,CCcm2,3.953436003571137,3.072178347027549
15,15h,Heterospecific,ED,0.31118334550766974,0.10538482358627352
19,19h,Heterospecific,CCcm2,4.209157845682709,3.669349897738088
19,19h,Heterospecific,ED,0.3639065308568003,0.3371609258246765
10,10c,Conspecific,CCcm2,2.3775116993209644,1.824203564485754
10,10c,Conspecific,ED,0.08438411833398211,0.1089138190267906
15,15c,Conspecific,CCcm2,3.953436003571137,2.8307117227546255
15,15c,Conspecific,ED,0.31118334550766974,0.2282618230443504
19,19c,Conspecific,CCcm2,4.209157845682709,2.578214042263117
19,19c,Conspecific,ED,0.3639065308568003,0.11298773006134943
4,4h,Heterospecific,CCcm2,4.099935251359106,1.9412298198256803
4,4h,Heterospecific,ED,0.489640461792193,0.2176516976713933
8,8h,Heterospecific,CCcm2,4.235615005053206,2.1990850878541046
8,8h,Heterospecific,ED,0.14111503477795606,0.07509912402028582
12,12h,Heterospecific,CCcm2,2.911313908741063,1.5379858724704072
12,12h,Heterospecific,ED,0.35196481583287476,0.17150171821305824
16,16h,Heterospecific,CCcm2,4.888384402686071,3.1134794930715124
16,16h,Heterospecific,ED,0.03752767902488567,0.30358276582410687
20,20h,Heterospecific,CCcm2,2.319066491112575,2.912479827690905
20,20h,Heterospecific,ED,0.17645766951942074,0.19376165173827228
11,11c,Conspecific,CCcm2,4.940477485784532,1.64194266183699
11,11c,Conspecific,ED,0.4567908713692938,0.11110972661932068
16,16c,Conspecific,CCcm2,4.888384402686071,3.065943952802359
16,16c,Conspecific,ED,0.03752767902488567,0.36584070796460166
20,20c,Conspecific,CCcm2,2.319066491112575,1.920464241127162
20,20c,Conspecific,ED,0.17645766951942074,0.28981027287319405
5,5h,Heterospecific,CCcm2,2.2366610013455133,1.1144393487830353
5,5h,Heterospecific,ED,0.28141312938177176,0.14724525975026967
9,9h,Heterospecific,CCcm2,4.452596916856208,1.4267145577852107
9,9h,Heterospecific,ED,0.38181956027293423,0.04211262541806022
13,13h,Heterospecific,CCcm2,4.839541604702216,2.7209415167247477
13,13h,Heterospecific,ED,0.4086689611217335,0.1521465169618093
17,17h,Heterospecific,CCcm2,4.2228374732210066,1.4049752705548204
17,17h,Heterospecific,ED,0.3092889004689943,0.1392701630674305
12,12c,Conspecific,CCcm2,2.911313908741063,1.5052216821228366
12,12c,Conspecific,ED,0.35196481583287476,0.06696563568815406
17,17c,Conspecific,CCcm2,4.2228374732210066,2.259572320665033
17,17c,Conspecific,ED,0.3092889004689943,0.21774404868444577
1,1h,Heterospecific,CCcm2,3.110142719551702,0.9458891914257492
1,1h,Heterospecific,ED,0.2941134751773049,0.10982865780411628
6,6h,Heterospecific,CCcm2,4.222657294292549,2.8735267197110796
6,6h,Heterospecific,ED,0.4348443280977313,0.09902579989842564
10,10h,Heterospecific,CCcm2,2.3775116993209644,2.0989129655243084
10,10h,Heterospecific,ED,0.08438411833398211,0.12771046565237443
14,14h,Heterospecific,CCcm2,4.398658874004027,2.228995130223202
14,14h,Heterospecific,ED,0.2065760441292356,0.26458896501101065
18,18h,Heterospecific,CCcm2,4.358598682812831,2.880586917207004
18,18h,Heterospecific,ED,0.4243418738049713,0.22676046050019844
18,18c,Conspecific,NP,0.9435801006161052,0.429051890961438
18,18c,Conspecific,GP,1.39039362844928,0.9185716921186524
18,18c,Conspecific,R,0.4468135278331809,0.48951980115721455
18,18h,Heterospecific,NP,0.9435801006161052,0.5822217680080742
18,18h,Heterospecific,GP,1.39039362844928,1.0372440988335698
18,18h,Heterospecific,R,0.4468135278331809,0.4550223308254984
18,18s,Dead_skeletal,NP,0.9435801006161052,0.48037841058301867
18,18s,Dead_skeletal,GP,1.39039362844928,0.9978617675312428
18,18s,Dead_skeletal,R,0.4468135278331809,0.5174833569482241
2,2m,No_neighbor,NP,0.99004207067146,1.13996947618388
2,2m,No_neighbor,GP,1.35006752459599,1.5684209141225298
2,2m,No_neighbor,R,0.360025453924522,0.4284514379386466
2,2s,Dead_skeletal,NP,0.99004207067146,0.8246623589029954
2,2s,Dead_skeletal,GP,1.35006752459599,1.1317752870041
2,2s,Dead_skeletal,R,0.360025453924522,0.30711292810111257
2,2c,Conspecific,NP,0.99004207067146,0.8353452599931496
2,2c,Conspecific,GP,1.35006752459599,1.25368545330141
2,2c,Conspecific,R,0.360025453924522,0.41834019330826666
2,2h,Heterospecific,NP,0.99004207067146,0.9150732292658076
2,2h,Heterospecific,GP,1.35006752459599,1.42980758969142
2,2h,Heterospecific,R,0.360025453924522,0.5147343604256123
8,8h,Heterospecific,NP,1.31106206778383,1.13552574000623
8,8h,Heterospecific,GP,2.01288845343332,1.47096428892019
8,8h,Heterospecific,R,0.7018263856494928,0.33543854891396185
8,8c,Conspecific,NP,1.31106206778383,1.27293447255036
8,8c,Conspecific,GP,2.01288845343332,1.67220804148227
8,8c,Conspecific,R,0.7018263856494928,0.3992735689319156
11,11h,Heterospecific,NP,0.5819347908896847,0.8089559911304459
11,11h,Heterospecific,GP,0.970802509709042,0.9562037077566676
11,11h,Heterospecific,R,0.38886771881935733,0.14724771662622163
11,11s,Dead_skeletal,NP,0.5819347908896847,0.7707772225391868
11,11s,Dead_skeletal,GP,0.970802509709042,1.11099564389756
11,11s,Dead_skeletal,R,0.38886771881935733,0.3402184213583749
11,11m,No_neighbor,NP,0.5819347908896847,0.8733533314600072
11,11m,No_neighbor,GP,0.970802509709042,1.00308267374401
11,11m,No_neighbor,R,0.38886771881935733,0.12972934228401026
11,11c,Conspecific,NP,0.5819347908896847,0.38747081219397217
11,11c,Conspecific,GP,0.970802509709042,0.5456909221775522
11,11c,Conspecific,R,0.38886771881935733,0.15822010998358005
14,14s,Dead_skeletal,NP,0.7152355044912674,1.1444656973888498
14,14s,Dead_skeletal,GP,1.24365969104394,1.86928193833336
14,14s,Dead_skeletal,R,0.5284241865526751,0.7248162409445049
14,14h,Heterospecific,NP,0.7152355044912674,1.06298016617287
14,14h,Heterospecific,GP,1.24365969104394,1.89886159884564
14,14h,Heterospecific,R,0.5284241865526751,0.8358814326727646
14,14m,No_neighbor,NP,0.7152355044912674,0.9548309031820368
14,14m,No_neighbor,GP,1.24365969104394,1.91436124656449
14,14m,No_neighbor,R,0.5284241865526751,0.9595303433824568
1,1c,Conspecific,NP,0.6870284860517915,0.6659806939548191
1,1c,Conspecific,GP,1.1319822159993198,0.9308132367023656
1,1c,Conspecific,R,0.4449537299475306,0.26483254274754636
1,1s,Dead_skeletal,NP,0.6870284860517915,0.7709456154716126
1,1s,Dead_skeletal,GP,1.1319822159993198,1.1173453226938
1,1s,Dead_skeletal,R,0.4449537299475306,0.3463997072221904
1,1h,Heterospecific,NP,0.6870284860517915,0.3805746977340477
1,1h,Heterospecific,GP,1.1319822159993198,0.5285106574169669
1,1h,Heterospecific,R,0.4449537299475306,0.14793595968291928
1,1m,No_neighbor,NP,0.6870284860517915,0.9932350502107514
1,1m,No_neighbor,GP,1.1319822159993198,1.54393716260352
1,1m,No_neighbor,R,0.4449537299475306,0.5507021123927763
5,5c,Conspecific,NP,0.6565780500840765,0.5982213678616755
5,5c,Conspecific,GP,1.06942781913329,0.8722375493974508
5,5c,Conspecific,R,0.41284976904921544,0.2740161815357753
5,5s,Dead_skeletal,NP,0.6565780500840765,0.5374576894025812
5,5s,Dead_skeletal,GP,1.06942781913329,0.8286776035539678
5,5s,Dead_skeletal,R,0.41284976904921544,0.29121991415138654
5,5h,Heterospecific,NP,0.6565780500840765,0.684415402610371
5,5h,Heterospecific,GP,1.06942781913329,1.19675435999961
5,5h,Heterospecific,R,0.41284976904921544,0.5123389573892393
5,5m,No_neighbor,NP,0.6565780500840765,0.5755400070137889
5,5m,No_neighbor,GP,1.06942781913329,1.02173634042943
5,5m,No_neighbor,R,0.41284976904921544,0.44619633341564774
7,7h,Heterospecific,NP,1.0426191155187698,0.6473945193937571
7,7h,Heterospecific,GP,1.6869770966661302,1.01775504351814
7,7h,Heterospecific,R,0.6443579811473638,0.3703605241243909
7,7c,Conspecific,NP,1.0426191155187698,0.6768285879596079
7,7c,Conspecific,GP,1.6869770966661302,1.03037005197048
7,7c,Conspecific,R,0.6443579811473638,0.35354146401087944
7,7m,No_neighbor,NP,1.0426191155187698,0.4257251883461012
7,7m,No_neighbor,GP,1.6869770966661302,0.683571548838659
7,7m,No_neighbor,R,0.6443579811473638,0.25784636049255777
7,7s,Dead_skeletal,NP,1.0426191155187698,0.47934012860422953
7,7s,Dead_skeletal,GP,1.6869770966661302,0.7453113744607738
7,7s,Dead_skeletal,R,0.6443579811473638,0.2659712458565443
13,13c,Conspecific,NP,0.8845157257217224,0.4337474148112427
13,13c,Conspecific,GP,1.42351788507526,0.8613621945397385
13,13c,Conspecific,R,0.5390021593535408,0.42761477972849576
13,13s,Dead_skeletal,NP,0.8845157257217224,0.38986468553029824
13,13s,Dead_skeletal,GP,1.42351788507526,0.7563222623307674
13,13s,Dead_skeletal,R,0.5390021593535408,0.3664575768004692
13,13h,Heterospecific,NP,0.8845157257217224,0.3414362095804667
13,13h,Heterospecific,GP,1.42351788507526,0.6469978926304893
13,13h,Heterospecific,R,0.5390021593535408,0.30556168305002257
13,13m,No_neighbor,NP,0.8845157257217224,0.3077762668521228
13,13m,No_neighbor,GP,1.42351788507526,0.7108773609096379
13,13m,No_neighbor,R,0.5390021593535408,0.4031010940575152
3,3c,Conspecific,NP,0.5694707705707115,0.4592083052153256
3,3c,Conspecific,GP,0.9324492321603336,0.7966749390226965
3,3c,Conspecific,R,0.3629784615896221,0.33746663380737085
3,3s,Dead_skeletal,NP,0.5694707705707115,0.6922721433078493
3,3s,Dead_skeletal,GP,0.9324492321603336,1.25929911186149
3,3s,Dead_skeletal,R,0.3629784615896221,0.5670269685536412
19,19h,Heterospecific,NP,0.896967244718403,0.7882208212905439
19,19h,Heterospecific,GP,1.48697362162228,1.31212589391718
19,19h,Heterospecific,R,0.5900063769038868,0.5239050726266389
19,19c,Conspecific,NP,0.896967244718403,0.6277714288439711
19,19c,Conspecific,GP,1.48697362162228,1.08877583661924
19,19c,Conspecific,R,0.5900063769038868,0.4610044077752761
19,19m,No_neighbor,NP,0.896967244718403,0.4076116111742752
19,19m,No_neighbor,GP,1.48697362162228,0.8610311139404132
19,19m,No_neighbor,R,0.5900063769038868,0.453419502766138
19,19s,Dead_skeletal,NP,0.896967244718403,0.35791508391131494
19,19s,Dead_skeletal,GP,1.48697362162228,0.8145072462429742
19,19s,Dead_skeletal,R,0.5900063769038868,0.4565921623316594
6,6m,No_neighbor,NP,0.6411007084460197,0.9182260793387584
6,6m,No_neighbor,GP,1.19683359558883,1.51220392983594
6,6m,No_neighbor,R,0.5557328871428114,0.5939778504971878
6,6s,Dead_skeletal,NP,0.6411007084460197,0.664213110153147
6,6s,Dead_skeletal,GP,1.19683359558883,1.12853613312162
6,6s,Dead_skeletal,R,0.5557328871428114,0.46432302296847866
6,6c,Conspecific,NP,0.6411007084460197,0.8163081964886708
6,6c,Conspecific,GP,1.19683359558883,1.25048927194876
6,6c,Conspecific,R,0.5557328871428114,0.4341810754600969
6,6h,Heterospecific,NP,0.6411007084460197,0.6959989071357384
6,6h,Heterospecific,GP,1.19683359558883,1.24748801817228
6,6h,Heterospecific,R,0.5557328871428114,0.5514891110365466
20,20h,Heterospecific,NP,1.14580989117862,0.45601677645700733
20,20h,Heterospecific,GP,1.80383390682046,0.9349581955029144
20,20h,Heterospecific,R,0.6580240156418391,0.478941419045907
20,20c,Conspecific,NP,1.14580989117862,0.3972333510282623
20,20c,Conspecific,GP,1.80383390682046,0.76548327978883
20,20c,Conspecific,R,0.6580240156418391,0.36824992876056767
20,20s,Dead_skeletal,NP,1.14580989117862,0.5506540968700603
20,20s,Dead_skeletal,GP,1.80383390682046,0.956062630033302
20,20s,Dead_skeletal,R,0.6580240156418391,0.4054085331632418
20,20m,No_neighbor,NP,1.14580989117862,0.4876471076008943
20,20m,No_neighbor,GP,1.80383390682046,0.971103269628706
20,20m,No_neighbor,R,0.6580240156418391,0.4834561620278115
15,15s,Dead_skeletal,NP,0.8131597211236777,1.15479153291257
15,15s,Dead_skeletal,GP,1.40231577790974,1.78059826212261
15,15s,Dead_skeletal,R,0.5891560567860665,0.6258067292100333
15,15c,Conspecific,NP,0.8131597211236777,1.20651188722282
15,15c,Conspecific,GP,1.40231577790974,1.82681627633301
15,15c,Conspecific,R,0.5891560567860665,0.6203043891101909
15,15h,Heterospecific,NP,0.8131597211236777,1.08636943275114
15,15h,Heterospecific,GP,1.40231577790974,1.53970152527246
15,15h,Heterospecific,R,0.5891560567860665,0.453332092521319
15,15m,No_neighbor,NP,0.8131597211236777,1.34461244236443
15,15m,No_neighbor,GP,1.40231577790974,2.07691552366683
15,15m,No_neighbor,R,0.5891560567860665,0.7323030813024021
17,17c,Conspecific,NP,1.06204310113197,1.27138687513311
17,17c,Conspecific,GP,1.57153268787873,1.86351156522152
17,17c,Conspecific,R,0.5094895867467636,0.5921246900884028
17,17s,Dead_skeletal,NP,1.06204310113197,0.84336576467546
17,17s,Dead_skeletal,GP,1.57153268787873,1.26810054427628
17,17s,Dead_skeletal,R,0.5094895867467636,0.4247347796008208
17,17h,Heterospecific,NP,1.06204310113197,0.8829608373507863
17,17h,Heterospecific,GP,1.57153268787873,1.34745674659076
17,17h,Heterospecific,R,0.5094895867467636,0.4644959092399805
12,12c,Conspecific,NP,0.5973919824751872,0.5787340522147716
12,12c,Conspecific,GP,1.06713622551746,0.9598503127915514
12,12c,Conspecific,R,0.4697442430422727,0.3811162605767798
12,12m,No_neighbor,NP,0.5973919824751872,0.3837954209862035
12,12m,No_neighbor,GP,1.06713622551746,0.5352797554065524
12,12m,No_neighbor,R,0.4697442430422727,0.15148433442034884
12,12s,Dead_skeletal,NP,0.5973919824751872,0.6563691037053794
12,12s,Dead_skeletal,GP,1.06713622551746,1.17010214903137
12,12s,Dead_skeletal,R,0.4697442430422727,0.5137330453259922
12,12h,Heterospecific,NP,0.5973919824751872,0.3482908908142298
12,12h,Heterospecific,GP,1.06713622551746,0.6263416024017648
12,12h,Heterospecific,R,0.4697442430422727,0.278050711587535
10,10h,Heterospecific,NP,0.42711971637375007,0.5063821505639355
10,10h,Heterospecific,GP,0.9135326184778352,0.8926149698370835
10,10h,Heterospecific,R,0.4864129021040853,0.3862328192731481
10,10c,Conspecific,NP,0.42711971637375007,0.5794361865844468
10,10c,Conspecific,GP,0.9135326184778352,0.9215101211111744
10,10c,Conspecific,R,0.4864129021040853,0.3420739345267274
10,10s,Dead_skeletal,NP,0.42711971637375007,0.39107356621865613
10,10s,Dead_skeletal,GP,0.9135326184778352,0.8851725230119328
10,10s,Dead_skeletal,R,0.4864129021040853,0.49409895679327664
4,4c,Conspecific,NP,1.08455048682754,0.8136973585896349
4,4c,Conspecific,GP,1.7004972668312,1.31652965472982
4,4c,Conspecific,R,0.6159467800036578,0.5028322961401948
4,4s,Dead_skeletal,NP,1.08455048682754,1.24467262115076
4,4s,Dead_skeletal,GP,1.7004972668312,1.83974495885982
4,4s,Dead_skeletal,R,0.6159467800036578,0.5950723377090519
4,4h,Heterospecific,NP,1.08455048682754,1.35544932303947
4,4h,Heterospecific,GP,1.7004972668312,1.97219770112406
4,4h,Heterospecific,R,0.6159467800036578,0.6167483780845888
4,4m,No_neighbor,NP,1.08455048682754,0.9366135720175184
4,4m,No_neighbor,GP,1.7004972668312,1.4349964238109398
4,4m,No_neighbor,R,0.6159467800036578,0.4983828517934247
16,16h,Heterospecific,NP,1.37239957501704,1.5053278755323
16,16h,Heterospecific,GP,2.10839287514405,2.13092234500804
16,16h,Heterospecific,R,0.7359933001270093,0.6255944694757394
16,16s,Dead_skeletal,NP,1.37239957501704,0.7276283134790952
16,16s,Dead_skeletal,GP,2.10839287514405,1.06711807522318
16,16s,Dead_skeletal,R,0.7359933001270093,0.3394897617440943
16,16m,No_neighbor,NP,1.37239957501704,1.28519248507902
16,16m,No_neighbor,GP,2.10839287514405,1.83410339879834
16,16m,No_neighbor,R,0.7359933001270093,0.5489109137193182
16,16c,Conspecific,NP,1.37239957501704,0.7512965822952117
16,16c,Conspecific,GP,2.10839287514405,1.08343414489103
16,16c,Conspecific,R,0.7359933001270093,0.33213756259582283
9,9s,Dead_skeletal,NP,1.05411307147285,0.723587377716202
9,9s,Dead_skeletal,GP,1.67162728983466,0.9575282704074156
9,9s,Dead_skeletal,R,0.6175142183618065,0.2339408926912136
9,9c,Conspecific,NP,1.05411307147285,0.6108381276183453
9,9c,Conspecific,GP,1.67162728983466,0.8003353395476551
9,9c,Conspecific,R,0.6175142183618065,0.18949721192930977
9,9m,No_neighbor,NP,1.05411307147285,0.727003161533322
9,9m,No_neighbor,GP,1.67162728983466,0.9854202680573162
9,9m,No_neighbor,R,0.6175142183618065,0.25841710652399413
9,9h,Heterospecific,NP,1.05411307147285,0.21032032543320855
9,9h,Heterospecific,GP,1.67162728983466,0.629296624627531
9,9h,Heterospecific,R,0.6175142183618065,0.4189762991943225
