CowTagID,Predictor_measurement,Predictor_value
13,range_Salinity,0.2700000000000031
13,cv_Salinity,0.003701635221810269
13,min_Silicate_umolL,1.07
13,max_Silicate_umolL,1.89
13,mean_Silicate_umolL,1.53
13,range_Silicate_umolL,0.8199999999999998
13,cv_Silicate_umolL,0.2738866253563001
13,min_pH,8.025560651
13,max_pH,8.072474817
13,mean_pH,8.050940235333332
13,range_pH,0.046914166000000534
13,cv_pH,0.0029427931049150822
14,min_Ammonia_umolL,0.32
14,max_Ammonia_umolL,0.69
14,mean_Ammonia_umolL,0.45
14,range_Ammonia_umolL,0.36999999999999994
14,cv_Ammonia_umolL,0.3775598499962861
14,min_NN_umolL,0.44
14,max_NN_umolL,0.6
14,mean_NN_umolL,0.495
14,range_NN_umolL,0.15999999999999998
14,cv_NN_umolL,0.14427128138470402
14,min_Phosphate_umolL,0.22
14,max_Phosphate_umolL,0.23
14,mean_Phosphate_umolL,0.2225
14,range_Phosphate_umolL,0.010000000000000009
14,cv_Phosphate_umolL,0.02247191011235957
14,min_Salinity,36.71
14,max_Salinity,36.97
14,mean_Salinity,36.807500000000005
14,range_Salinity,0.259999999999998
14,cv_Salinity,0.0033815261565801344
14,min_Silicate_umolL,1.45
14,max_Silicate_umolL,3.66
14,mean_Silicate_umolL,2.6275
14,range_Silicate_umolL,2.21
14,cv_Silicate_umolL,0.36351650079991094
14,min_pH,8.028336898
14,max_pH,8.099315001
14,mean_pH,8.05383423625
14,range_pH,0.07097810300000162
14,cv_pH,0.003992756173549911
15,min_Ammonia_umolL,0.26
15,max_Ammonia_umolL,0.47
15,mean_Ammonia_umolL,0.3675
15,range_Ammonia_umolL,0.20999999999999996
15,cv_Ammonia_umolL,0.24274691503079607
15,min_NN_umolL,0.39
15,max_NN_umolL,1.08
15,mean_NN_umolL,0.6000000000000001
15,range_NN_umolL,0.6900000000000001
15,cv_NN_umolL,0.5438205041562342
15,min_Phosphate_umolL,0.18
15,max_Phosphate_umolL,0.28
15,mean_Phosphate_umolL,0.225
15,range_Phosphate_umolL,0.10000000000000003
15,cv_Phosphate_umolL,0.1832491389163405
15,min_Salinity,36.62
15,max_Salinity,36.99
15,mean_Salinity,36.86
15,range_Salinity,0.37000000000000455
15,cv_Salinity,0.004479821333514539
15,min_Silicate_umolL,0.65
15,max_Silicate_umolL,7.61
15,mean_Silicate_umolL,2.665
15,range_Silicate_umolL,6.96
15,cv_Silicate_umolL,1.2408580688286552
15,min_pH,7.981840619
15,max_pH,8.065322221
15,mean_pH,8.03483458
15,range_pH,0.08348160200000088
15,cv_pH,0.004794796808809765
16,min_Ammonia_umolL,0.3
16,max_Ammonia_umolL,0.86
16,mean_Ammonia_umolL,0.4575
16,range_Ammonia_umolL,0.56
16,cv_Ammonia_umolL,0.5893200469947726
16,min_NN_umolL,0.32
16,max_NN_umolL,0.47
16,mean_NN_umolL,0.3875
16,range_NN_umolL,0.14999999999999997
16,cv_NN_umolL,0.20360946887818707
16,min_Phosphate_umolL,0.19
16,max_Phosphate_umolL,0.21
16,mean_Phosphate_umolL,0.205
16,range_Phosphate_umolL,0.01999999999999999
16,cv_Phosphate_umolL,0.04878048780487803
16,min_Salinity,36.87
16,max_Salinity,37.18
16,mean_Salinity,36.97
16,range_Salinity,0.3100000000000023
16,cv_Salinity,0.003907302980798922
16,min_Silicate_umolL,0.66
16,max_Silicate_umolL,1.37
16,mean_Silicate_umolL,1.07
16,range_Silicate_umolL,0.7100000000000001
16,cv_Silicate_umolL,0.2932654089909609
16,min_pH,8.027278345
16,max_pH,8.089299604
16,mean_pH,8.052475871
16,range_pH,0.06202125900000155
16,cv_pH,0.0032530875847859918
17,min_Ammonia_umolL,0.24
17,max_Ammonia_umolL,0.33
17,mean_Ammonia_umolL,0.2975
17,range_Ammonia_umolL,0.09000000000000002
17,cv_Ammonia_umolL,0.13550013022350507
17,min_NN_umolL,0.41
17,max_NN_umolL,0.99
17,mean_NN_umolL,0.6025
17,range_NN_umolL,0.5800000000000001
17,cv_NN_umolL,0.4352167678077583
17,min_Phosphate_umolL,0.21
17,max_Phosphate_umolL,0.29
17,mean_Phosphate_umolL,0.23249999999999998
17,range_Phosphate_umolL,0.07999999999999999
17,cv_Phosphate_umolL,0.16611656238360525
17,min_Salinity,36.56
17,max_Salinity,36.92
17,mean_Salinity,36.7825
17,range_Salinity,0.35999999999999943
17,cv_Salinity,0.004283545505767325
17,min_Silicate_umolL,1.25
17,max_Silicate_umolL,7.39
17,mean_Silicate_umolL,3.35
17,range_Silicate_umolL,6.14
17,cv_Silicate_umolL,0.8232566676337614
17,min_pH,8.017158875
17,max_pH,8.0771141
17,mean_pH,8.042558233
17,range_pH,0.0599552249999995
17,cv_pH,0.0031140093115039147
18,min_Ammonia_umolL,0.2
18,max_Ammonia_umolL,0.48
