CowTagID,Location,lat,lon,Date,Time,DateTime,Tide,Day_Night,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL
15,Varari,-17.54014299,-149.900183,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.62,28,2340.611163,8.065322221,0.28,7.61,1.08,0.26
15,Varari,-17.54014299,-149.900183,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.94,26.99,2376.479103,8.030897352,0.22,1.18,0.39,0.34
16,Varari,-17.54029797,-149.900492,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,37.18,27.96,2363.988112,8.046426728,0.21,1.37,0.47,0.3
16,Varari,-17.54029797,-149.900492,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.88,27.28,2321.911981,8.027278345,0.19,0.66,0.32,0.86
16,Varari,-17.54029797,-149.900492,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.95,28.13,2340.260957,8.089299604,0.21,1.25,0.44,0.36
16,Varari,-17.54029797,-149.900492,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.87,27.24,2362.729916,8.046898807,0.21,1,0.32,0.31
17,Varari,-17.54031901,-149.899572,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.92,27.77,2361.397676,8.03849959,0.21,2.7,0.5,0.32
17,Varari,-17.54031901,-149.899572,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.79,27.18,2314.889032,8.037460367,0.21,1.25,0.51,0.33
17,Varari,-17.54031901,-149.899572,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.56,28.2,2355.897908,8.0771141,0.29,7.39,0.99,0.3
17,Varari,-17.54031901,-149.899572,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.86,27.02,2349.779191,8.017158875,0.22,2.06,0.41,0.24
18,Varari,-17.54019697,-149.899906,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.89,27.71,2382.01882,8.047223974,0.22,1.28,0.51,0.32
18,Varari,-17.54019697,-149.899906,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.91,27.09,2320.524277,8.04098504,0.21,0.88,0.47,0.32
18,Varari,-17.54019697,-149.899906,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.49,28.09,2358.4544,8.068123549,0.31,7.67,1.09,0.48
18,Varari,-17.54019697,-149.899906,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.86,27.09,2365.935001,8.028567593,0.22,1.33,0.31,0.2
19,Varari,-17.54050802,-149.89978,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.82,28.18,2359.378322,8.041044947,0.22,1.21,0.47,0.34
19,Varari,-17.54050802,-149.89978,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.85,27.42,2326.363311,8.037345536,0.2,0.7,0.33,0.44
19,Varari,-17.54050802,-149.89978,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.83,28.2,2317.13505,8.093951503,0.22,1.1,0.38,0.15
19,Varari,-17.54050802,-149.89978,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.91,27.35,2369.352141,8.038791084,0.19,1.29,0.23,0.14
20,Varari,-17.54045103,-149.899509,8/5/2021,11:57:00,2021-08-05T11:57:00Z,High,Day,36.96,27.81,2345.449179,8.060649307,0.2,1.77,0.46,0.26
20,Varari,-17.54045103,-149.899509,8/5/2021,0:00:00,2021-08-05T00:00:00Z,High,Night,36.83,27.17,2322.825798,8.04379388,0.19,0.75,0.38,0.43
20,Varari,-17.54045103,-149.899509,8/8/2021,18:30:00,2021-08-08T18:30:00Z,Low,Night,36.88,28.19,2316.749816,8.078929937,0.27,1.88,0.61,0.22
20,Varari,-17.54045103,-149.899509,8/8/2021,7:30:00,2021-08-08T07:30:00Z,Low,Day,36.88,27.08,2363.766285,8.022434278,0.19,1.07,0.32,0.23
