Run,Well_ID,Fragment_type,Fragment_ID,Replicate_ID
2,E9,ST_POST,16s,3
2,E10,ST_POST,17s,1
2,E11,ST_POST,17s,2
2,E12,ST_POST,17s,3
2,F1,ST_POST,18s,1
2,F2,ST_POST,18s,2
2,F3,ST_POST,18s,3
2,F4,ST_POST,19s,1
2,F5,ST_POST,19s,2
2,F6,ST_POST,19s,3
2,F7,ST_POST,20s,1
2,F8,ST_POST,20s,2
2,F9,ST_POST,20s,3
2,F10,ST_POST,1c,1
2,F11,ST_POST,1c,2
2,F12,ST_POST,1c,3
2,G1,ST_POST,2c,1
2,G2,ST_POST,2c,2
2,G3,ST_POST,2c,3
2,G4,ST_POST,3c,1
2,G5,ST_POST,3c,2
2,G6,ST_POST,3c,3
2,G7,ST_POST,4c,1
2,G8,ST_POST,4c,2
2,G9,ST_POST,4c,3
2,G10,ST_POST,5c,1
2,G11,ST_POST,5c,2
2,G12,ST_POST,5c,3
2,H1,ST_POST,6c,1
2,H2,ST_POST,6c,2
2,H3,ST_POST,6c,3
2,H4,ST_POST,7c,1
2,H5,ST_POST,7c,2
2,H6,ST_POST,7c,3
2,H7,ST_POST,8c,1
2,H8,ST_POST,8c,2
2,H9,ST_POST,8c,3
2,H10,ST_POST,9c,1
2,H11,ST_POST,9c,2
2,H12,ST_POST,9c,3
3,A1,ST_POST,BLANK,1
3,A2,ST_POST,BLANK,2
3,A3,ST_POST,BLANK,3
3,A4,ST_POST,10c,1
3,A5,ST_POST,10c,2
3,A6,ST_POST,10c,3
3,A7,ST_POST,11c,1
3,A8,ST_POST,11c,2
3,A9,ST_POST,11c,3
3,A10,ST_POST,12c,1
3,A11,ST_POST,12c,2
3,A12,ST_POST,12c,3
3,B1,ST_POST,13c,1
3,B2,ST_POST,13c,2
3,B3,ST_POST,13c,3
3,B4,ST_POST,15c,1
3,B5,ST_POST,15c,2
3,B6,ST_POST,15c,3
3,B7,ST_POST,16c,1
3,B8,ST_POST,16c,2
3,B9,ST_POST,16c,3
3,B10,ST_POST,17c,1
3,B11,ST_POST,17c,2
3,B12,ST_POST,17c,3
3,C1,ST_POST,18c,1
3,C2,ST_POST,18c,2
3,C3,ST_POST,18c,3
3,C4,ST_POST,19c,1
3,C5,ST_POST,19c,2
3,C6,ST_POST,19c,3
3,C7,ST_POST,20c,1
3,C8,ST_POST,20c,2
3,C9,ST_POST,20c,3
3,C10,ST_POST,1h,1
3,C11,ST_POST,1h,2
3,C12,ST_POST,1h,3
3,D1,ST_POST,2h,1
3,D2,ST_POST,2h,2
3,D3,ST_POST,2h,3
3,D4,ST_POST,4h,1
3,D5,ST_POST,4h,2
3,D6,ST_POST,4h,3
3,D7,ST_POST,5h,1
3,D8,ST_POST,5h,2
3,D9,ST_POST,5h,3
3,D10,ST_POST,6h,1
3,D11,ST_POST,6h,2
3,D12,ST_POST,6h,3
3,E1,ST_POST,7h,1
3,E2,ST_POST,7h,2
3,E3,ST_POST,7h,3
3,E4,ST_POST,8h,1
3,E5,ST_POST,8h,2
3,E6,ST_POST,8h,3
3,E7,ST_POST,9h,1
3,E8,ST_POST,9h,2
3,E9,ST_POST,9h,3
3,E10,ST_POST,10h,1
3,E11,ST_POST,10h,2
3,E12,ST_POST,10h,3
3,F1,ST_POST,11h,1
3,F2,ST_POST,11h,2
3,F3,ST_POST,11h,3
3,F4,ST_POST,12h,1
3,F5,ST_POST,12h,2
3,F6,ST_POST,12h,3
3,F7,ST_POST,13h,1
3,F8,ST_POST,13h,2
3,F9,ST_POST,13h,3
3,F10,ST_POST,14h,1
3,F11,ST_POST,14h,2
3,F12,ST_POST,14h,3
3,G1,ST_POST,15h,1
3,G2,ST_POST,15h,2
3,G3,ST_POST,15h,3
3,G4,ST_POST,16h,1
3,G5,ST_POST,16h,2
3,G6,ST_POST,16h,3
3,G7,ST_POST,17h,1
3,G8,ST_POST,17h,2
3,G9,ST_POST,17h,3
3,G10,ST_POST,18h,1
3,G11,ST_POST,18h,2
3,G12,ST_POST,18h,3
3,H1,ST_POST,19h,1
3,H2,ST_POST,19h,2
3,H3,ST_POST,19h,3
3,H4,ST_POST,20h,1
3,H5,ST_POST,20h,2
3,H6,ST_POST,20h,3
3,H7,ST_POST,NA,1
3,H8,ST_POST,NA,2
3,H9,ST_POST,NA,3
3,H10,ST_POST,NA,1
3,H11,ST_POST,NA,2
3,H12,ST_POST,NA,3
